age,income,credit_score,debt_amount,monthly_expenses,employment_years,loan_amount,existing_credits,interest_rate,payment_history,default
47.0,21221.88,546.0,47613.25,7009.8,21.2,34013.05,1.0,14.0,66.42,1.0
41.0,75684.06,502.0,34683.66,10000.0,8.6,28691.99,0.0,12.12,51.02,1.0
43.0,20000.0,680.0,42081.16,5435.81,1.7,33079.86,0.0,12.59,89.94,1.0
53.0,22446.78,670.0,9824.72,7695.4,0.7,27753.35,1.0,13.79,60.19,1.0
44.0,24168.29,829.0,39110.7,6056.21,3.8,12956.57,6.0,13.89,100.0,1.0
41.0,28369.02,796.0,18060.84,,0.5,34357.89,1.0,12.45,76.66,0.0
53.0,23613.16,668.0,15584.18,10000.0,2.6,25142.47,5.0,15.0,73.54,0.0
47.0,59058.2,659.0,3617.76,10000.0,1.9,35549.34,5.0,12.65,83.33,1.0
18.0,37098.03,850.0,32888.27,8983.06,0.4,34333.33,3.0,10.28,96.1,1.0
46.0,42678.83,680.0,11194.47,10000.0,2.4,20635.85,4.0,9.2,100.0,0.0
40.0,48243.01,619.0,16813.42,10000.0,2.7,16522.59,3.0,11.63,49.27,1.0
38.0,35871.33,767.0,5482.03,8901.66,1.6,18756.91,6.0,10.64,60.18,1.0
36.0,22384.24,663.0,30811.06,4755.51,7.7,37315.5,5.0,17.9,78.22,1.0
27.0,21494.51,635.0,55236.1,10000.0,4.7,19705.24,5.0,10.9,72.49,1.0
50.0,22956.02,712.0,46594.25,9039.07,2.1,15133.73,4.0,12.39,89.38,0.0
32.0,34684.04,756.0,22049.88,10000.0,5.4,38667.45,,16.49,87.84,1.0
33.0,24286.85,443.0,840.26,5421.17,7.5,42236.56,5.0,10.79,92.2,0.0
47.0,20000.0,749.0,20789.66,4542.27,3.4,34652.65,6.0,,71.19,0.0
,61533.14,691.0,8784.76,10000.0,0.7,17351.73,7.0,10.14,78.56,0.0
39.0,20000.0,721.0,14359.52,8523.9,3.1,48462.74,3.0,13.78,,1.0
38.0,22171.61,550.0,10275.22,7480.7,6.7,28713.0,5.0,10.32,81.71,0.0
35.0,82796.49,590.0,31872.02,10000.0,2.4,36386.92,5.0,16.12,79.17,1.0
37.0,64023.39,682.0,5553.85,10000.0,20.4,28856.91,7.0,11.06,75.24,0.0
30.0,28774.53,540.0,9471.39,10000.0,1.4,35505.74,3.0,10.89,81.9,0.0
47.0,20112.48,513.0,30215.17,4104.76,5.3,42043.46,4.0,15.96,90.31,1.0
37.0,27301.69,673.0,20173.58,8730.96,3.0,42658.2,7.0,14.28,79.88,0.0
62.0,38149.2,679.0,42674.28,10000.0,2.3,27965.24,7.0,12.47,95.47,0.0
40.0,47122.8,609.0,25186.19,10000.0,1.0,23414.53,4.0,8.37,77.79,0.0
61.0,63930.9,732.0,24606.63,10000.0,1.9,26592.58,3.0,6.07,82.99,
55.0,23206.41,766.0,6349.84,10000.0,2.5,18509.69,6.0,7.02,85.55,1.0
50.0,22914.99,492.0,54691.13,10000.0,0.6,11826.49,0.0,15.54,,1.0
28.0,38163.31,685.0,17282.99,10000.0,0.3,34590.24,7.0,19.14,62.79,0.0
30.0,22062.13,712.0,11566.01,10000.0,2.5,21721.15,3.0,13.55,86.2,
40.0,38462.45,589.0,18846.27,10000.0,2.5,44271.59,4.0,14.19,74.35,1.0
46.0,48164.21,701.0,15162.46,10000.0,1.6,32919.43,6.0,15.03,95.39,0.0
61.0,23512.8,561.0,51668.6,10000.0,4.2,27036.64,,11.12,65.31,1.0
26.0,40483.4,640.0,23587.55,10000.0,5.2,34486.25,3.0,13.37,53.21,1.0
34.0,20000.0,562.0,36602.5,6944.65,0.7,36539.66,1.0,11.03,85.6,1.0
54.0,21827.3,648.0,45029.92,7267.34,0.9,27242.44,3.0,14.44,81.33,1.0
32.0,43324.22,761.0,28266.8,9753.86,7.0,21773.23,4.0,11.93,71.32,0.0
36.0,20001.94,642.0,25906.2,8996.57,5.4,22401.16,7.0,13.08,61.81,1.0
37.0,120455.41,598.0,702.5,10000.0,2.5,38828.15,6.0,15.22,89.34,1.0
30.0,55296.4,738.0,28710.86,10000.0,2.2,22838.35,3.0,15.15,98.03,1.0
33.0,68276.7,558.0,40926.99,10000.0,2.9,38273.93,7.0,7.69,92.94,1.0
55.0,20000.0,634.0,39647.42,7368.42,4.5,24354.88,4.0,10.2,77.86,1.0
34.0,37306.54,720.0,24035.87,10000.0,1.4,41357.62,0.0,12.17,100.0,0.0
38.0,58417.58,608.0,18263.38,10000.0,1.7,41560.46,3.0,10.38,81.68,1.0
44.0,42942.16,706.0,32086.12,10000.0,1.2,26206.11,1.0,12.74,77.17,1.0
54.0,22783.15,615.0,27569.78,5676.96,0.8,18991.44,7.0,14.28,73.87,0.0
66.0,23775.55,649.0,11512.06,8780.15,0.9,31903.13,3.0,13.55,94.22,1.0
43.0,21179.84,686.0,370.41,5886.09,1.9,37516.42,6.0,12.78,78.33,1.0
58.0,35686.45,534.0,12785.04,10000.0,2.5,36818.93,2.0,10.15,93.06,1.0
55.0,31583.54,535.0,23764.12,10000.0,0.3,37358.17,0.0,12.47,100.0,0.0
35.0,114391.61,509.0,45721.83,10000.0,1.6,24241.35,2.0,9.9,99.77,1.0
18.0,20000.0,597.0,35144.58,4170.06,1.6,17915.92,7.0,12.7,80.75,1.0
31.0,57906.38,464.0,31455.65,10000.0,8.5,25570.66,7.0,9.55,,1.0
28.0,48198.1,706.0,24620.26,10000.0,0.6,36774.99,,13.57,86.16,0.0
44.0,80133.95,587.0,54664.93,10000.0,1.2,29457.29,3.0,8.42,64.69,1.0
65.0,34325.11,712.0,14435.64,10000.0,1.9,23979.25,6.0,8.15,72.2,1.0
40.0,74697.16,788.0,34212.84,10000.0,0.5,4285.19,3.0,12.57,74.03,1.0
,27620.29,682.0,4933.72,7806.02,,36899.51,6.0,11.1,70.93,1.0
45.0,31126.24,676.0,40133.99,9539.07,7.1,35520.53,2.0,15.1,79.55,0.0
43.0,20444.74,753.0,57776.55,10000.0,1.2,34733.99,3.0,10.94,80.48,1.0
39.0,37885.58,589.0,14218.49,10000.0,1.6,35700.05,7.0,12.81,89.09,1.0
51.0,33842.23,585.0,9350.83,10000.0,1.2,23676.76,1.0,15.84,74.1,0.0
31.0,20000.0,668.0,16762.62,9700.06,1.7,9523.67,2.0,6.42,73.1,1.0
39.0,48076.5,629.0,20401.75,10000.0,4.9,30391.27,1.0,11.85,71.65,0.0
42.0,29890.44,664.0,44728.89,9427.98,0.9,26994.08,4.0,15.32,81.17,0.0
26.0,20000.0,685.0,15343.35,6336.38,2.2,21587.16,3.0,14.44,81.35,0.0
33.0,71107.85,678.0,17540.36,10000.0,1.4,34936.14,2.0,7.67,84.1,0.0
47.0,22931.73,,33289.48,7461.9,2.2,14049.01,0.0,12.06,85.86,0.0
41.0,27299.95,644.0,34468.62,,2.6,35250.72,0.0,15.71,67.5,0.0
48.0,95777.59,805.0,16696.44,10000.0,12.4,44405.86,6.0,6.85,77.7,1.0
25.0,28238.2,718.0,39185.47,10000.0,1.0,14254.66,4.0,11.73,75.68,1.0
36.0,45814.02,794.0,29015.01,10000.0,4.5,26488.5,2.0,11.46,82.61,0.0
49.0,20020.57,625.0,13021.93,5501.66,0.7,20604.07,6.0,9.87,68.26,0.0
35.0,83852.53,737.0,32347.97,10000.0,1.9,45794.15,4.0,11.07,63.89,1.0
37.0,54630.04,631.0,22398.17,10000.0,1.7,34969.82,2.0,,84.63,0.0
52.0,61203.29,768.0,11461.02,10000.0,6.2,42612.91,5.0,12.15,,1.0
43.0,20000.0,658.0,51733.08,8243.0,1.6,35802.09,7.0,8.44,75.91,1.0
61.0,54582.25,695.0,17496.35,10000.0,0.5,33132.73,5.0,14.54,98.53,1.0
60.0,38598.57,711.0,25063.99,10000.0,2.8,41599.71,6.0,8.53,78.29,0.0
18.0,47559.46,692.0,16475.26,10000.0,0.3,20526.29,7.0,20.36,34.47,1.0
39.0,33396.66,626.0,25632.41,10000.0,0.8,40189.09,1.0,7.11,100.0,1.0
53.0,45519.43,577.0,14642.45,10000.0,0.5,30495.54,2.0,11.91,79.13,1.0
53.0,47696.55,702.0,31196.82,10000.0,2.6,24983.98,0.0,8.61,80.93,1.0
29.0,44133.39,509.0,31651.37,10000.0,0.8,31505.41,7.0,5.7,100.0,1.0
41.0,57286.74,555.0,22171.72,10000.0,0.9,25028.43,2.0,11.63,79.83,1.0
35.0,33983.7,655.0,30621.12,10000.0,3.1,41694.61,2.0,13.36,100.0,1.0
42.0,20000.0,603.0,30456.86,5258.73,1.4,36127.4,1.0,12.62,97.64,1.0
50.0,21376.37,654.0,18327.78,4314.09,3.5,25185.11,4.0,15.0,79.67,1.0
37.0,20000.0,630.0,59774.02,4746.84,2.5,32879.67,5.0,11.87,100.0,1.0
48.0,52394.68,702.0,20964.35,10000.0,1.5,34273.24,6.0,18.19,100.0,0.0
37.0,34257.87,668.0,8529.15,10000.0,0.2,39136.77,5.0,9.75,78.56,1.0
56.0,28949.93,732.0,45533.37,8853.96,0.6,36543.15,6.0,9.39,82.23,0.0
32.0,58787.0,629.0,28309.6,10000.0,6.0,27831.31,1.0,10.4,85.1,0.0
34.0,57534.74,538.0,31867.83,10000.0,3.9,24819.0,7.0,9.41,69.35,1.0
40.0,39448.49,693.0,15629.26,10000.0,1.0,26256.84,4.0,10.52,69.39,1.0
41.0,20000.0,644.0,41991.12,6982.58,1.5,38057.72,2.0,10.52,82.89,1.0
18.0,20000.0,650.0,20005.43,9852.58,1.3,6508.04,5.0,10.23,87.41,0.0
43.0,23073.21,593.0,2198.58,6769.47,1.3,29593.76,7.0,15.45,65.0,0.0
38.0,68335.99,630.0,40769.07,10000.0,0.4,17584.99,6.0,11.22,55.05,1.0
36.0,47331.68,716.0,2752.94,10000.0,1.8,36888.14,5.0,13.23,73.79,0.0
30.0,20000.0,650.0,23058.73,5447.29,16.6,31729.3,7.0,10.05,71.6,1.0
52.0,55059.99,745.0,34255.22,10000.0,,29545.49,4.0,8.55,92.05,1.0
28.0,56876.21,571.0,16008.24,10000.0,2.5,28991.9,2.0,12.11,75.1,1.0
21.0,90798.87,727.0,22844.27,10000.0,0.4,13819.54,2.0,13.31,77.54,1.0
30.0,67234.55,707.0,8445.0,10000.0,0.4,25979.51,3.0,12.93,81.13,1.0
41.0,35996.79,556.0,59657.53,7971.31,9.6,38170.76,3.0,13.83,89.16,0.0
38.0,27513.09,603.0,23497.02,10000.0,0.2,29843.07,0.0,13.71,60.46,1.0
37.0,21274.35,655.0,31166.72,4358.17,2.8,31329.78,2.0,10.85,79.47,1.0
44.0,35752.94,652.0,22763.81,10000.0,5.2,34347.8,3.0,5.07,59.2,1.0
22.0,48827.32,585.0,42610.18,10000.0,4.6,21254.77,1.0,15.37,68.92,1.0
28.0,22392.97,656.0,2990.17,7507.16,4.8,44518.22,6.0,11.32,72.57,1.0
25.0,20000.0,701.0,18370.75,4787.65,2.6,16810.64,6.0,12.46,74.12,1.0
18.0,39973.76,534.0,27973.31,9545.07,2.6,29106.05,7.0,6.38,79.8,0.0
34.0,51492.54,614.0,5484.14,10000.0,0.2,33161.8,2.0,14.26,72.96,1.0
48.0,31916.37,739.0,48072.41,7192.94,0.7,42366.78,0.0,13.85,83.57,1.0
38.0,42408.72,735.0,2903.91,10000.0,0.6,34105.72,6.0,9.55,100.0,0.0
35.0,52895.35,557.0,39376.77,10000.0,2.2,28581.01,1.0,6.52,70.94,1.0
36.0,20667.55,457.0,17042.88,6611.69,0.5,40785.89,2.0,13.12,81.54,1.0
58.0,46969.3,694.0,29009.41,10000.0,0.2,35322.36,7.0,10.88,100.0,1.0
37.0,43658.52,641.0,46627.18,10000.0,3.0,23703.53,0.0,12.4,100.0,
68.0,55836.14,684.0,4394.39,10000.0,0.6,30711.53,5.0,13.38,89.47,0.0
59.0,25512.98,704.0,6588.37,10000.0,0.6,24812.58,6.0,13.71,77.44,1.0
31.0,77494.14,751.0,32405.1,10000.0,1.8,15393.95,1.0,9.47,76.35,1.0
30.0,56365.65,684.0,20953.73,10000.0,4.3,24223.32,6.0,14.04,87.76,0.0
39.0,61916.13,582.0,18346.75,10000.0,1.5,23263.6,3.0,9.95,60.81,0.0
43.0,24680.76,706.0,38371.94,5517.31,1.6,28934.87,5.0,16.23,92.82,1.0
58.0,20000.0,582.0,17211.18,8492.92,3.8,15608.01,1.0,14.08,100.0,1.0
44.0,54821.87,580.0,47525.98,10000.0,1.0,30488.16,4.0,11.27,69.49,1.0
49.0,20000.0,602.0,24246.93,6673.84,0.6,16205.19,6.0,12.32,75.06,1.0
26.0,29826.29,576.0,11943.22,8100.96,0.3,33373.35,2.0,13.48,100.0,1.0
35.0,48771.34,647.0,32110.02,10000.0,0.9,36481.11,2.0,,60.85,0.0
34.0,35632.24,583.0,38801.99,9398.34,11.0,41792.38,0.0,8.73,70.0,1.0
40.0,50816.03,654.0,20800.58,10000.0,1.8,40073.53,5.0,11.15,87.03,1.0
41.0,45796.28,749.0,23941.57,10000.0,2.9,23510.0,6.0,11.53,66.37,0.0
51.0,51204.69,775.0,3636.53,10000.0,1.9,42624.21,0.0,12.78,94.57,1.0
69.0,34461.92,654.0,39447.29,10000.0,1.2,31155.37,3.0,9.83,76.42,0.0
42.0,28095.98,570.0,32616.67,10000.0,0.8,18353.05,3.0,14.6,72.58,0.0
37.0,111475.14,643.0,25657.22,10000.0,0.5,15871.74,1.0,16.16,100.0,1.0
24.0,22200.81,690.0,44988.4,5617.64,2.0,24749.04,6.0,12.5,98.49,1.0
48.0,44312.45,697.0,8282.74,10000.0,1.9,51591.82,1.0,13.8,75.1,0.0
23.0,93280.93,644.0,29131.1,10000.0,1.1,22812.61,4.0,11.45,61.71,0.0
48.0,20000.0,659.0,2980.01,6336.97,14.3,32272.32,2.0,12.79,46.69,1.0
25.0,49622.43,644.0,32183.44,10000.0,1.5,42310.26,,9.71,75.14,1.0
31.0,57017.53,706.0,40851.87,10000.0,1.7,21019.52,6.0,9.12,65.7,0.0
46.0,35585.48,777.0,44037.52,9024.27,0.8,,4.0,11.13,86.14,0.0
42.0,48002.69,669.0,23603.67,10000.0,1.2,15577.48,7.0,11.13,82.75,1.0
32.0,34066.82,528.0,21813.6,10000.0,7.6,35616.65,7.0,3.0,80.76,1.0
50.0,20571.0,534.0,9345.5,7235.61,5.5,15001.39,7.0,15.36,100.0,1.0
54.0,32751.95,578.0,23907.29,10000.0,7.5,29648.16,1.0,9.24,83.64,0.0
42.0,34587.32,660.0,19199.07,9287.72,0.3,33588.78,1.0,15.41,77.15,1.0
51.0,38671.91,522.0,32804.81,10000.0,10.3,6253.38,3.0,13.59,53.9,1.0
,44160.2,606.0,32508.11,10000.0,2.2,25435.14,3.0,12.49,94.08,1.0
40.0,41512.33,713.0,4168.64,10000.0,1.2,37774.83,0.0,13.59,72.29,0.0
44.0,39214.93,639.0,30883.24,10000.0,2.1,16621.24,7.0,16.45,95.83,1.0
31.0,37976.55,692.0,34017.14,10000.0,6.9,9681.13,6.0,6.89,69.28,0.0
39.0,42953.67,661.0,26091.08,10000.0,1.5,17246.26,5.0,7.87,60.74,1.0
36.0,21025.12,537.0,3459.83,6626.83,5.7,34402.97,2.0,9.22,69.65,0.0
36.0,93756.38,610.0,8694.37,10000.0,1.1,21435.57,3.0,12.1,99.0,1.0
,20000.0,681.0,39819.33,4391.24,5.6,35373.82,2.0,9.91,100.0,1.0
68.0,47099.51,833.0,2924.27,10000.0,4.7,34704.69,0.0,9.23,91.12,0.0
32.0,66105.07,509.0,33551.81,10000.0,3.6,19698.25,5.0,15.81,78.8,1.0
29.0,52832.63,727.0,29486.11,10000.0,3.8,29042.33,7.0,12.57,74.53,0.0
43.0,20000.0,655.0,16026.22,6890.19,1.9,24735.68,4.0,18.4,75.31,0.0
50.0,37796.96,800.0,9873.5,10000.0,0.9,27689.66,6.0,13.19,97.2,0.0
47.0,21778.76,670.0,13857.52,10000.0,5.3,36678.9,0.0,9.59,63.46,1.0
56.0,,552.0,32711.41,10000.0,0.9,35230.98,6.0,9.62,98.84,1.0
50.0,60227.73,644.0,36476.93,10000.0,0.6,34949.49,7.0,10.13,81.86,0.0
26.0,30574.01,652.0,38805.98,10000.0,0.3,25523.86,0.0,15.32,66.52,1.0
48.0,28061.17,743.0,45768.75,10000.0,3.0,40010.65,7.0,10.75,90.39,0.0
47.0,24374.56,779.0,40647.19,8946.56,1.4,36934.87,5.0,11.94,71.66,0.0
27.0,48654.03,498.0,38302.07,10000.0,4.2,15098.22,6.0,10.76,86.81,0.0
52.0,56125.56,595.0,11122.44,10000.0,13.4,20901.11,4.0,4.16,100.0,0.0
63.0,33737.61,578.0,25872.8,8606.27,3.9,37805.92,6.0,12.49,87.15,0.0
39.0,84852.61,578.0,36401.52,,1.9,18556.18,2.0,,88.73,1.0
18.0,33078.07,766.0,26249.99,10000.0,3.5,18373.15,6.0,16.29,100.0,0.0
31.0,60089.33,650.0,34014.3,10000.0,3.7,22050.73,0.0,17.64,65.21,0.0
67.0,20000.0,637.0,33884.72,5642.2,1.0,,4.0,12.0,64.2,1.0
30.0,22014.14,499.0,47911.74,5087.96,0.2,26133.16,0.0,15.66,87.73,1.0
18.0,46884.48,780.0,40629.73,10000.0,1.2,34345.41,3.0,12.57,88.34,0.0
18.0,138928.39,572.0,8744.42,10000.0,5.0,28398.57,0.0,7.53,76.48,0.0
47.0,28564.64,622.0,3698.35,6650.21,4.1,31289.43,7.0,11.77,82.68,1.0
42.0,37220.1,508.0,12431.18,10000.0,1.0,38836.34,5.0,7.95,100.0,1.0
33.0,102427.41,627.0,2543.75,10000.0,6.7,26609.32,0.0,13.18,80.77,1.0
57.0,48341.85,690.0,20551.87,10000.0,3.3,41815.73,2.0,11.27,77.51,1.0
22.0,138732.06,647.0,43802.1,10000.0,2.9,25922.25,7.0,16.62,69.86,0.0
41.0,29307.65,696.0,9230.0,10000.0,1.1,31402.72,0.0,11.73,100.0,0.0
34.0,45767.37,546.0,11213.07,10000.0,1.0,44193.79,6.0,10.33,79.44,0.0
59.0,49054.07,850.0,22807.92,10000.0,1.3,39761.82,0.0,9.49,92.02,1.0
47.0,30151.62,723.0,37093.41,10000.0,3.1,25227.49,2.0,14.17,55.98,1.0
45.0,130189.71,702.0,33132.73,10000.0,1.0,24035.18,4.0,12.72,72.7,0.0
39.0,20081.17,644.0,30259.26,8951.45,5.7,31633.73,6.0,16.76,100.0,1.0
39.0,33982.75,561.0,7845.86,8903.96,4.5,26519.03,1.0,12.08,72.2,1.0
51.0,30988.66,659.0,39635.0,9582.26,0.2,36792.63,7.0,13.94,78.68,0.0
37.0,30681.5,698.0,26974.75,10000.0,17.5,35109.0,7.0,10.41,91.2,0.0
34.0,45203.54,680.0,38036.86,,2.6,21534.62,2.0,14.42,80.26,0.0
50.0,24206.53,646.0,28518.74,9251.17,6.8,39337.25,0.0,13.62,91.1,1.0
40.0,31831.86,563.0,15020.77,10000.0,1.6,27548.99,7.0,12.82,94.88,0.0
38.0,41825.28,611.0,6779.02,10000.0,0.3,40899.89,6.0,12.29,100.0,0.0
35.0,70918.86,694.0,17492.79,10000.0,9.5,34820.71,6.0,8.06,,1.0
56.0,73538.01,738.0,31113.48,10000.0,0.6,24068.32,6.0,11.67,72.48,0.0
27.0,52831.0,714.0,32628.61,10000.0,11.7,33390.34,2.0,7.22,61.94,0.0
27.0,24844.01,782.0,11904.82,10000.0,6.0,38950.96,2.0,10.32,87.62,1.0
46.0,32007.12,700.0,20420.5,10000.0,2.0,24098.28,3.0,14.79,81.05,1.0
54.0,59341.54,691.0,24390.32,10000.0,2.6,34685.51,1.0,11.12,73.12,0.0
42.0,39892.65,579.0,27320.83,10000.0,0.7,42901.64,0.0,16.37,100.0,1.0
48.0,33362.44,664.0,19919.92,10000.0,1.7,32210.39,1.0,13.11,63.66,0.0
18.0,35773.2,724.0,82446.73,10000.0,1.1,24045.94,4.0,8.28,100.0,0.0
,35702.99,637.0,34494.73,10000.0,4.2,24258.17,1.0,16.17,82.11,1.0
25.0,72805.2,700.0,9984.29,10000.0,10.4,26905.57,1.0,6.7,72.67,0.0
38.0,30473.8,752.0,12663.39,10000.0,6.1,25414.81,4.0,9.49,85.72,1.0
33.0,54036.07,645.0,34525.58,10000.0,0.3,38811.86,6.0,9.0,71.01,1.0
33.0,40844.98,728.0,23831.55,10000.0,8.8,26960.12,3.0,11.24,56.4,1.0
31.0,38498.62,766.0,3198.16,10000.0,1.9,35397.36,6.0,12.91,80.59,0.0
53.0,26094.81,759.0,6637.42,10000.0,15.2,37410.18,3.0,10.23,84.33,0.0
46.0,20328.94,574.0,33099.12,9624.32,2.9,18060.75,4.0,19.05,88.57,1.0
29.0,34244.73,657.0,15852.27,10000.0,23.7,21517.24,4.0,10.02,75.05,1.0
38.0,25448.5,651.0,18599.41,8493.27,1.4,27677.68,7.0,7.38,75.32,1.0
,,628.0,21093.35,10000.0,1.2,40123.45,5.0,18.04,70.25,1.0
20.0,43821.51,669.0,25784.71,10000.0,4.9,,4.0,15.49,79.77,0.0
47.0,64059.08,691.0,36457.15,10000.0,1.7,26379.16,3.0,13.35,90.47,0.0
43.0,36190.09,712.0,13923.53,10000.0,6.3,32539.71,4.0,11.67,93.63,0.0
30.0,79898.91,698.0,1293.75,10000.0,5.6,25253.64,2.0,12.26,72.31,0.0
50.0,56096.59,692.0,15497.5,10000.0,5.0,36011.64,0.0,12.73,100.0,
55.0,20000.0,627.0,25128.85,8485.44,1.5,41498.91,4.0,10.32,87.11,1.0
57.0,56540.65,602.0,36890.55,10000.0,1.9,20404.37,2.0,11.15,79.06,1.0
,59488.58,580.0,35041.79,10000.0,3.3,42347.63,,12.88,72.02,1.0
22.0,35687.3,656.0,17852.96,7416.35,2.3,32573.99,3.0,11.89,80.81,0.0
,23240.23,458.0,21190.09,10000.0,2.9,19309.67,3.0,11.87,75.58,1.0
18.0,25118.6,730.0,7963.74,7109.04,0.6,45273.64,6.0,11.19,96.28,0.0
43.0,36043.2,746.0,12665.23,10000.0,4.4,17337.48,3.0,8.91,76.24,1.0
51.0,46099.59,587.0,42086.9,10000.0,1.9,34465.12,0.0,14.19,92.78,1.0
41.0,46674.63,603.0,289.14,10000.0,7.0,43305.39,5.0,12.96,73.16,0.0
22.0,57603.05,562.0,15747.47,10000.0,5.4,13637.03,1.0,13.22,100.0,1.0
21.0,44389.21,572.0,18728.34,10000.0,0.8,22853.6,3.0,9.5,82.05,1.0
65.0,20000.0,551.0,33607.65,6134.65,3.1,21616.8,7.0,14.55,96.41,1.0
27.0,24930.77,581.0,49190.93,5137.98,11.5,35621.98,6.0,15.85,95.21,1.0
55.0,61272.36,558.0,35860.45,10000.0,1.6,10119.3,7.0,8.07,56.35,
64.0,29987.13,538.0,15580.99,8753.26,4.6,36175.71,6.0,,60.72,1.0
35.0,22664.64,658.0,14991.15,5868.21,3.7,39436.14,3.0,13.61,97.24,0.0
35.0,20000.0,811.0,37253.17,9317.6,0.5,28243.93,5.0,9.61,98.16,0.0
37.0,51002.1,598.0,3995.91,10000.0,5.5,35458.65,0.0,7.79,72.12,1.0
62.0,59278.73,639.0,24223.89,10000.0,0.7,41237.91,5.0,10.73,74.49,1.0
38.0,39843.95,675.0,34177.45,10000.0,3.9,31367.4,1.0,10.35,61.36,1.0
22.0,49850.02,674.0,15055.31,10000.0,1.1,10446.54,1.0,14.93,78.35,0.0
48.0,41427.4,618.0,51557.22,10000.0,1.4,26575.51,7.0,10.13,77.78,1.0
57.0,44025.74,678.0,20954.47,10000.0,0.3,24133.64,0.0,14.07,100.0,1.0
35.0,40068.87,770.0,50671.6,10000.0,0.9,21366.81,1.0,7.72,61.57,
34.0,22613.18,557.0,40381.25,7739.1,0.5,26112.95,4.0,12.75,76.08,1.0
35.0,32579.54,504.0,38650.82,9788.75,0.5,28931.51,5.0,10.51,81.84,1.0
36.0,130330.13,590.0,36182.05,10000.0,1.4,42558.03,5.0,12.55,100.0,0.0
31.0,35392.74,759.0,19980.12,10000.0,3.1,31182.31,1.0,7.99,82.99,1.0
35.0,24814.73,715.0,15042.56,5883.13,0.7,40044.36,1.0,13.28,100.0,0.0
32.0,68194.59,615.0,1738.36,10000.0,1.7,,1.0,9.45,95.24,1.0
33.0,23636.56,580.0,32776.05,10000.0,2.0,33923.46,2.0,10.14,91.58,0.0
50.0,51300.08,676.0,47669.41,10000.0,1.5,22377.24,1.0,12.46,78.96,1.0
58.0,35264.07,605.0,25615.57,,4.0,31370.61,1.0,15.71,90.91,1.0
42.0,30836.28,646.0,38512.11,10000.0,3.1,17465.24,4.0,10.42,79.14,1.0
32.0,63949.28,801.0,11492.61,10000.0,3.1,51268.73,3.0,9.01,50.56,1.0
49.0,39421.02,,33513.39,9201.9,1.6,25503.95,3.0,9.86,80.97,1.0
43.0,20000.0,613.0,14045.42,8709.56,2.8,44098.06,1.0,9.06,74.82,0.0
24.0,57975.74,688.0,15092.72,10000.0,12.7,14073.47,5.0,8.26,82.81,1.0
27.0,58714.75,580.0,35233.7,10000.0,4.5,38131.99,4.0,9.37,93.17,1.0
44.0,22237.57,452.0,22791.23,5836.55,,40734.76,7.0,8.88,79.83,1.0
37.0,29122.91,649.0,59512.12,8741.78,0.8,27443.45,6.0,14.54,87.27,0.0
30.0,61093.94,798.0,52087.02,10000.0,4.2,12512.03,1.0,15.28,56.78,0.0
28.0,20000.0,635.0,38967.68,9774.75,1.2,21650.72,6.0,12.44,93.83,1.0
52.0,36631.54,600.0,48008.9,10000.0,0.9,21066.19,0.0,10.78,94.7,1.0
25.0,20000.0,755.0,19629.87,8651.67,2.3,32812.84,1.0,14.61,97.2,1.0
47.0,43172.27,690.0,25964.46,10000.0,1.1,26080.93,0.0,7.3,100.0,1.0
21.0,26485.6,736.0,43881.35,10000.0,2.3,36564.44,1.0,10.35,59.49,0.0
27.0,76250.62,702.0,25619.98,10000.0,0.7,,4.0,10.6,83.29,1.0
30.0,43760.02,614.0,50403.31,10000.0,0.8,34198.17,2.0,13.44,64.98,1.0
49.0,30588.87,527.0,16524.44,6162.84,0.5,19086.09,1.0,9.51,97.11,0.0
41.0,59860.82,482.0,1802.74,10000.0,0.4,42071.01,6.0,5.4,68.72,0.0
43.0,40293.03,768.0,24936.6,10000.0,2.4,39406.45,5.0,12.92,91.07,0.0
21.0,53037.67,737.0,7600.31,10000.0,3.9,49636.6,7.0,12.98,76.13,1.0
39.0,59437.67,756.0,35103.03,10000.0,2.1,32630.54,6.0,15.98,86.31,1.0
43.0,45113.56,726.0,24258.01,10000.0,14.3,23642.25,5.0,10.29,67.11,0.0
51.0,42525.59,680.0,3753.04,9099.58,0.7,,1.0,12.38,37.5,0.0
18.0,20000.0,560.0,42668.81,4300.17,6.1,12337.88,0.0,5.44,84.45,0.0
43.0,35690.34,509.0,6969.8,10000.0,1.4,36206.8,3.0,10.99,94.81,1.0
43.0,20469.08,697.0,5981.45,7413.7,3.8,19370.96,1.0,13.13,88.46,0.0
60.0,46624.48,590.0,19545.44,10000.0,0.8,31402.33,5.0,11.38,85.06,1.0
48.0,73292.65,603.0,30479.29,10000.0,1.4,21512.61,3.0,12.3,80.34,1.0
34.0,20000.0,587.0,35891.13,7690.52,3.2,19494.98,7.0,12.38,81.85,1.0
62.0,42174.6,620.0,27382.18,10000.0,3.0,44723.05,4.0,11.48,41.14,0.0
33.0,52875.4,807.0,27070.47,10000.0,2.2,41664.3,5.0,12.41,69.88,0.0
,22169.24,707.0,71973.53,10000.0,3.7,36877.47,0.0,8.64,92.08,1.0
23.0,100506.7,726.0,19502.41,10000.0,3.1,28546.3,5.0,13.97,75.51,1.0
49.0,22987.05,656.0,42470.27,6727.85,1.5,18208.42,3.0,11.13,75.26,1.0
